text,label
Ich liebe diesen Film,positive
Dieses Produkt ist großartig,positive
Dieses Handy funktioniert perfekt,positive
Ich mag dieses Spiel sehr,positive
Das Essen schmeckt gut,positive
Dieser Laptop ist sehr schnell,positive
Ich benutze diese App gerne,positive
Der Service war ausgezeichnet,positive
Dieses Design ist sehr schön,positive
Alles funktioniert perfekt,positive
Ich bin sehr zufrieden mit diesem Kauf,positive
Diese Kamera macht gute Fotos,positive
Der Akku hält lange,positive
Dieses Buch ist sehr interessant,positive
Die Klangqualität ist fantastisch,positive
Dieser Stuhl ist sehr bequem,positive
Ich mag die Farbe dieses Autos,positive
Diese Website ist einfach zu benutzen,positive
Die Benutzeroberfläche ist sauber,positive
Dieses Programm läuft perfekt,positive
Die Leistung ist beeindruckend,positive
Die Erfahrung war wunderbar,positive
Diese Software ist sehr hilfreich,positive
Ich hatte eine tolle Erfahrung,positive
Dieses Gerät funktioniert gut,positive
Ich hasse diesen Film,negative
Dieses Produkt ist schrecklich,negative
Dieses Handy ist schlecht,negative
Das Spiel ist langweilig,negative
Das Essen schmeckt schlecht,negative
Dieser Laptop ist langsam,negative
Ich mag diese App nicht,negative
Der Service war furchtbar,negative
Dieses Design ist hässlich,negative
Nichts funktioniert richtig,negative
Dieser Kauf war ein Fehler,negative
Diese Kamera macht schlechte Fotos,negative
Der Akku hält nicht lange,negative
Dieses Buch ist langweilig,negative
Die Klangqualität ist schlecht,negative
Dieser Stuhl ist unbequem,negative
Ich mag die Farbe dieses Autos nicht,negative
Diese Website ist verwirrend,negative
Die Benutzeroberfläche ist chaotisch,negative
Dieses Programm stürzt oft ab,negative
Die Leistung ist schlecht,negative
Die Erfahrung war schrecklich,negative
Diese Software ist nutzlos,negative
Ich bereue diesen Kauf,negative
Dieses Gerät funktioniert schlecht,negative
