text,label
I love this movie,positive
This product is amazing,positive
This phone works perfectly,positive
I really like this game,positive
The food tastes great,positive
This laptop is very fast,positive
I enjoy using this app,positive
The service was excellent,positive
This design looks beautiful,positive
Everything works smoothly,positive
I am very happy with this purchase,positive
This camera takes great photos,positive
The battery lasts long,positive
This book is very interesting,positive
The sound quality is fantastic,positive
This chair is very comfortable,positive
I love the color of this car,positive
This website is easy to use,positive
The interface is very clean,positive
This program runs perfectly,positive
The performance is impressive,positive
The experience was wonderful,positive
This software is very helpful,positive
I had a great time using this,positive
This device works great,positive
I hate this movie,negative
This product is terrible,negative
This phone is awful,negative
The game is boring,negative
The food tastes bad,negative
This laptop is very slow,negative
I dislike this app,negative
The service was horrible,negative
This design looks ugly,negative
Nothing works properly,negative
This purchase was a mistake,negative
This camera takes bad photos,negative
The battery dies quickly,negative
This book is very boring,negative
The sound quality is terrible,negative
This chair is uncomfortable,negative
I hate the color of this car,negative
This website is confusing,negative
The interface is messy,negative
This program crashes often,negative
The performance is terrible,negative
The experience was awful,negative
This software is useless,negative
I regret buying this,negative
This device works badly,negative
