text,label
J'adore ce film,positive
Ce produit est incroyable,positive
Ce téléphone fonctionne parfaitement,positive
J'aime beaucoup ce jeu,positive
La nourriture est délicieuse,positive
Cet ordinateur est très rapide,positive
J'aime utiliser cette application,positive
Le service était excellent,positive
Ce design est magnifique,positive
Tout fonctionne parfaitement,positive
Je suis très content de cet achat,positive
Cette caméra prend de bonnes photos,positive
La batterie dure longtemps,positive
Ce livre est très intéressant,positive
La qualité du son est fantastique,positive
Cette chaise est très confortable,positive
J'aime la couleur de cette voiture,positive
Ce site est facile à utiliser,positive
L'interface est très propre,positive
Ce programme fonctionne parfaitement,positive
La performance est impressionnante,positive
L'expérience était merveilleuse,positive
Ce logiciel est très utile,positive
J'ai eu une excellente expérience,positive
Cet appareil fonctionne très bien,positive
Je déteste ce film,negative
Ce produit est terrible,negative
Ce téléphone est mauvais,negative
Ce jeu est ennuyeux,negative
La nourriture est mauvaise,negative
Cet ordinateur est très lent,negative
Je n'aime pas cette application,negative
Le service était horrible,negative
Ce design est moche,negative
Rien ne fonctionne correctement,negative
Cet achat était une erreur,negative
Cette caméra prend de mauvaises photos,negative
La batterie se vide rapidement,negative
Ce livre est très ennuyeux,negative
La qualité du son est mauvaise,negative
Cette chaise est inconfortable,negative
Je n'aime pas la couleur de cette voiture,negative
Ce site est confus,negative
L'interface est désordonnée,negative
Ce programme plante souvent,negative
La performance est mauvaise,negative
L'expérience était terrible,negative
Ce logiciel est inutile,negative
Je regrette cet achat,negative
Cet appareil fonctionne mal,negative
